w;l_0;d_0;l_opt;d_opt;mass;deflection;function_calls
0.81;0.845263;0.0171256;0.210542;0.0192637;0.478633;0.00222331;341781
0.82;0.524547;0.0353961;0.524547;0.0353961;4.02605;0.00301627;6
0.83;0.311649;0.0405427;0.311649;0.0405427;3.13815;0.000367524;6
0.84;0.988482;0.0124566;0.2;0.0280598;0.964683;0.000423339;9103
0.85;0.385907;0.0270771;0.385907;0.0270771;1.73329;0.00350734;6
0.86;0.221665;0.0118168;0.229896;0.0198367;0.554186;0.00257426;95
0.87;0.822866;0.0447918;0.822866;0.0447918;10.1137;0.00454077;6
0.88;0.547433;0.0278877;0.2;0.020834;0.531814;0.00139296;68931
0.89;0.740297;0.0225862;0.222675;0.0196268;0.525481;0.00244092;49873
0.9;0.600645;0.0182606;0.257788;0.0206085;0.670718;0.00311556;84275
0.91;0.232114;0.0220807;0.232114;0.0220807;0.693281;0.0017258;6
0.92;0.441343;0.0291746;0.441343;0.0291746;2.30128;0.00389268;6
0.93;0.435522;0.0145962;0.2;0.0212897;0.555333;0.00127747;22801
0.94;0.748535;0.0104094;0.253205;0.0204857;0.650965;0.0030238;34668
0.95;0.253505;0.0232185;0.253505;0.0232185;0.837218;0.00183892;6
0.96;0.639395;0.0234494;0.2;0.0207299;0.526515;0.00142114;59344
0.97;0.324509;0.0486817;0.324509;0.0486817;4.71132;0.000199599;6
0.98;0.631029;0.0155487;0.261872;0.0207168;0.688523;0.00319827;79172
0.99;0.754672;0.0267427;0.248487;0.0203576;0.630874;0.00293048;75759
1;0.433927;0.0397203;0.433927;0.0397203;4.19398;0.0010768;104
